Customer,Year,Date,QC_Number,Customer Complaint,DTC,Failure Analysis,Warranty Decision,Supplier
Kia,2024,2024-07-21,QC-2024-7222,OBD Light ON,"P0987, C0045",Connector damage,Production Failure,STM
Ashok Leyland,2021,2021-03-30,QC-2021-3913,Low pickup,NA,controller failure due to supplier production failure,Production Failure,NA
Honda,2024,2024-02-09,QC-2024-2809,Rough idling,NA,NTF,Production Failure,Hanon
TATA,2022,2022-05-03,QC-2022-1648,Low pickup,"P1245, C0045",controller failure due to supplier production failure,Customer Failure,STM
TATA,2020,2020-07-22,QC-2020-7480,Engine jerking during acceleration,"B1234, P1245, P0301",Track burnt due to EOS,Customer Failure,Hanon
Ashok Leyland,2022,2022-10-29,QC-2022-6388,Engine jerking during acceleration,P0301,controller failure due to supplier production failure,Customer Failure,Delphi
Toyota,2024,2024-07-22,QC-2024-1841,Low pickup,NA,Track burnt due to EOS,Production Failure,STM
Kia,2021,2021-08-23,QC-2021-4947,High fuel consumption,"P6768, P5657, U0100",Connector damage,Production Failure,Hanon
Toyota,2022,2022-04-16,QC-2022-1631,Vehicle not starting,"P0987, P6768, U0100",Sensor short due to moisture,Customer Failure,Delphi
Toyota,2020,2020-02-28,QC-2020-6819,OBD Light ON,"P0301, P0987",controller failure due to supplier production failure,According to Specification,Bosch
TATA,2023,2023-04-19,QC-2023-5276,Engine jerking during acceleration,P0301,Track burnt due to EOS,According to Specification,STM
Honda,2024,2024-12-11,QC-2024-9221,High fuel consumption,NA,NTF,Customer Failure,Delphi
Toyota,2019,2019-01-24,QC-2019-1705,Vehicle not starting,U0100,NTF,According to Specification,Hanon
Ashok Leyland,2019,2019-02-18,QC-2019-9636,OBD Light ON,NA,Sensor short due to moisture,Customer Failure,Valeo
Toyota,2022,2022-06-29,QC-2022-3898,Starting Problem,P6344,controller failure due to supplier production failure,Customer Failure,NA
Toyota,2023,2023-07-12,QC-2023-4073,OBD Light ON,"P6344, P0455",Track burnt due to EOS,According to Specification,NA
Hyundai,2022,2022-02-22,QC-2022-5264,Low pickup,C0045,NTF,Production Failure,Valeo
M&M,2020,2020-03-20,QC-2020-1098,Brake warning light ON,,Track burnt due to EOS,Production Failure,STM
TATA,2023,2023-03-26,QC-2023-8537,Starting Problem,NA,NTF,According to Specification,Bosch
Toyota,2022,2022-10-15,QC-2022-1021,Engine overheating,C0045,Sensor short due to moisture,Production Failure,Hanon
Hyundai,2022,2022-10-19,QC-2022-7162,Vehicle not starting,,NTF,Customer Failure,Valeo
Toyota,2021,2021-02-22,QC-2021-1339,Brake warning light ON,"P6344, P0987, C0045",Sensor short due to moisture,Production Failure,NA
Kia,2019,2019-11-12,QC-2019-5170,Vehicle not starting,P0987,Connector damage,Customer Failure,STM
Toyota,2020,2020-10-19,QC-2020-8721,Engine overheating,P0987,ASIC CJ327 failure due to EOS,Production Failure,Bosch
Ashok Leyland,2020,2020-03-06,QC-2020-5107,Engine overheating,"B1234, P5657, P1245",Connector damage,Production Failure,Delphi
TATA,2024,2024-01-31,QC-2024-5530,OBD Light ON,"P5657, P6768",Track burnt due to EOS,According to Specification,Valeo
Ashok Leyland,2024,2024-10-08,QC-2024-8662,Rough idling,NA,Sensor short due to moisture,Production Failure,Delphi
TATA,2024,2024-08-27,QC-2024-2239,Low pickup,P6344,Connector damage,According to Specification,NA
Ashok Leyland,2020,2020-02-07,QC-2020-6057,Vehicle not starting,"P0987, B1234, U0100",Connector damage,Production Failure,Valeo
M&M,2024,2024-05-20,QC-2024-7862,Vehicle not starting,,controller failure due to supplier production failure,Customer Failure,Hanon
Kia,2023,2023-12-06,QC-2023-9817,Engine overheating,"P1245, P6768, P0455",Sensor short due to moisture,Customer Failure,NA
Honda,2024,2024-03-23,QC-2024-1164,Low pickup,NA,NTF,Customer Failure,Delphi
M&M,2019,2019-08-12,QC-2019-9361,Engine jerking during acceleration,P0987,Connector damage,Customer Failure,NA
M&M,2021,2021-11-27,QC-2021-2188,Engine overheating,NA,ASIC CJ327 failure due to EOS,Production Failure,Bosch
Toyota,2022,2022-12-15,QC-2022-3073,Starting Problem,"U0100, P6344, B1234",ASIC CJ327 failure due to EOS,Production Failure,STM
Toyota,2020,2020-04-15,QC-2020-8981,Engine overheating,P5657,ASIC CJ327 failure due to EOS,Customer Failure,Delphi
M&M,2019,2019-04-26,QC-2019-7344,OBD Light ON,,Connector damage,According to Specification,STM
M&M,2024,2024-12-11,QC-2024-5658,Brake warning light ON,,Connector damage,Customer Failure,Valeo
Kia,2022,2022-06-07,QC-2022-6018,Engine overheating,P1245,controller failure due to supplier production failure,Customer Failure,Delphi
Honda,2023,2023-04-26,QC-2023-7909,Engine jerking during acceleration,"P1245, P0987",Connector damage,Customer Failure,Delphi
TATA,2019,2019-03-21,QC-2019-7955,Engine jerking during acceleration,,Connector damage,Production Failure,Valeo
Honda,2021,2021-05-29,QC-2021-2598,OBD Light ON,NA,Connector damage,According to Specification,Bosch
Ashok Leyland,2023,2023-05-24,QC-2023-4993,Engine jerking during acceleration,,controller failure due to supplier production failure,Production Failure,NA
Hyundai,2023,2023-04-06,QC-2023-5780,Starting Problem,,Sensor short due to moisture,According to Specification,NA
Kia,2022,2022-10-03,QC-2022-1646,High fuel consumption,P1245,Connector damage,According to Specification,Valeo
Hyundai,2023,2023-07-22,QC-2023-7322,OBD Light ON,P5657,ASIC CJ327 failure due to EOS,According to Specification,STM
Hyundai,2019,2019-02-12,QC-2019-5620,Low pickup,NA,ASIC CJ327 failure due to EOS,Production Failure,Bosch
Honda,2019,2019-11-02,QC-2019-3416,Vehicle not starting,NA,Track burnt due to EOS,According to Specification,Delphi
Hyundai,2020,2020-04-21,QC-2020-2003,Engine jerking during acceleration,B1234,NTF,Production Failure,Bosch
TATA,2024,2024-01-09,QC-2024-8823,Brake warning light ON,"P1245, P0987",Track burnt due to EOS,Production Failure,Bosch
Toyota,2021,2021-12-08,QC-2021-9620,Starting Problem,NA,Track burnt due to EOS,Production Failure,NA
Ashok Leyland,2024,2024-08-12,QC-2024-1947,OBD Light ON,,Sensor short due to moisture,According to Specification,NA
M&M,2024,2024-10-06,QC-2024-3326,High fuel consumption,"P0301, P0987, P5657",ASIC CJ327 failure due to EOS,Production Failure,STM
Kia,2021,2021-06-29,QC-2021-5547,Engine overheating,"P6768, P1245",Connector damage,Customer Failure,Delphi
TATA,2021,2021-05-14,QC-2021-3045,Vehicle not starting,P0301,Sensor short due to moisture,Customer Failure,STM
Ashok Leyland,2020,2020-05-31,QC-2020-3983,Starting Problem,P0455,Track burnt due to EOS,According to Specification,Valeo
M&M,2024,2024-02-21,QC-2024-4773,Brake warning light ON,"U0100, P0301, C0045",controller failure due to supplier production failure,Customer Failure,STM
Hyundai,2020,2020-10-01,QC-2020-2950,Starting Problem,,Track burnt due to EOS,Customer Failure,Valeo
Hyundai,2022,2022-12-27,QC-2022-7522,Starting Problem,C0045,controller failure due to supplier production failure,Production Failure,Valeo
Ashok Leyland,2020,2020-12-14,QC-2020-9090,Starting Problem,"P0987, P6768",ASIC CJ327 failure due to EOS,According to Specification,Valeo
Honda,2019,2019-12-03,QC-2019-4208,Engine jerking during acceleration,"U0100, P0301, P0455",Sensor short due to moisture,Production Failure,Hanon
Hyundai,2022,2022-05-14,QC-2022-2510,High fuel consumption,,Track burnt due to EOS,Production Failure,STM
Honda,2022,2022-03-03,QC-2022-4668,OBD Light ON,"P0301, P1245",Track burnt due to EOS,Production Failure,STM
Kia,2023,2023-03-27,QC-2023-9449,High fuel consumption,"U0100, P6344, P6768",controller failure due to supplier production failure,According to Specification,Hanon
Hyundai,2023,2023-08-05,QC-2023-3821,Low pickup,P0455,NTF,Production Failure,NA
M&M,2024,2024-03-30,QC-2024-2046,Brake warning light ON,"P6768, P0301, P0987",Connector damage,Production Failure,Delphi
Hyundai,2022,2022-11-07,QC-2022-4561,Brake warning light ON,"P5657, P0987",Sensor short due to moisture,Production Failure,Delphi
M&M,2020,2020-06-22,QC-2020-9623,High fuel consumption,"P5657, P0455",controller failure due to supplier production failure,Customer Failure,Bosch
Ashok Leyland,2021,2021-03-24,QC-2021-8154,Engine jerking during acceleration,NA,Connector damage,Customer Failure,STM
Kia,2022,2022-05-11,QC-2022-9487,Brake warning light ON,NA,Connector damage,Customer Failure,Hanon
Honda,2023,2023-06-30,QC-2023-4186,High fuel consumption,NA,controller failure due to supplier production failure,Customer Failure,Delphi
Kia,2019,2019-10-06,QC-2019-7818,Rough idling,NA,Sensor short due to moisture,According to Specification,STM
Ashok Leyland,2019,2019-02-08,QC-2019-6266,Engine overheating,NA,Track burnt due to EOS,Customer Failure,Bosch
Hyundai,2020,2020-02-08,QC-2020-8027,Low pickup,NA,Track burnt due to EOS,According to Specification,Hanon
Hyundai,2020,2020-02-27,QC-2020-2273,Brake warning light ON,NA,Sensor short due to moisture,Customer Failure,Hanon
TATA,2023,2023-06-03,QC-2023-3778,Vehicle not starting,,Sensor short due to moisture,Customer Failure,STM
Honda,2022,2022-08-02,QC-2022-3570,Brake warning light ON,P1245,controller failure due to supplier production failure,Production Failure,NA
M&M,2023,2023-03-07,QC-2023-8631,Engine jerking during acceleration,NA,controller failure due to supplier production failure,Production Failure,Bosch
Kia,2024,2024-02-21,QC-2024-4414,Vehicle not starting,,Sensor short due to moisture,According to Specification,NA
M&M,2019,2019-12-14,QC-2019-4241,Engine overheating,,Track burnt due to EOS,Production Failure,STM
Kia,2022,2022-04-16,QC-2022-3223,Low pickup,NA,ASIC CJ327 failure due to EOS,Production Failure,Valeo
Hyundai,2024,2024-02-04,QC-2024-4721,Engine overheating,"P1245, P0987, U0100",NTF,According to Specification,Delphi
Ashok Leyland,2020,2020-01-05,QC-2020-2083,Starting Problem,"C0045, P5657, P0455",Sensor short due to moisture,Production Failure,NA
Hyundai,2019,2019-09-23,QC-2019-2464,Vehicle not starting,NA,Sensor short due to moisture,Customer Failure,NA
Hyundai,2021,2021-02-01,QC-2021-7359,Rough idling,P5657,Sensor short due to moisture,Customer Failure,STM
M&M,2021,2021-02-10,QC-2021-1943,Engine overheating,"P1245, C0045",Sensor short due to moisture,Production Failure,Hanon
TATA,2019,2019-01-05,QC-2019-7263,Rough idling,B1234,Connector damage,According to Specification,NA
Honda,2020,2020-05-04,QC-2020-9522,Rough idling,,controller failure due to supplier production failure,Customer Failure,NA
Toyota,2022,2022-08-02,QC-2022-3644,Brake warning light ON,P0987,Sensor short due to moisture,Customer Failure,Valeo
Toyota,2023,2023-03-27,QC-2023-5370,Engine jerking during acceleration,,Sensor short due to moisture,Production Failure,STM
TATA,2021,2021-11-09,QC-2021-9335,Engine jerking during acceleration,NA,ASIC CJ327 failure due to EOS,According to Specification,Valeo
Kia,2021,2021-02-24,QC-2021-6966,Brake warning light ON,NA,Connector damage,Customer Failure,Delphi
M&M,2019,2019-07-18,QC-2019-9821,Brake warning light ON,"U0100, P0455, P6344",ASIC CJ327 failure due to EOS,Production Failure,Hanon
Kia,2024,2024-06-01,QC-2024-4073,Engine jerking during acceleration,"P6344, C0045",controller failure due to supplier production failure,Production Failure,Valeo
Toyota,2021,2021-10-23,QC-2021-7171,OBD Light ON,P6768,NTF,According to Specification,Bosch
Toyota,2019,2019-02-02,QC-2019-1209,OBD Light ON,NA,controller failure due to supplier production failure,Customer Failure,STM
Kia,2019,2019-07-25,QC-2019-9004,Brake warning light ON,"U0100, P1245",Track burnt due to EOS,According to Specification,Bosch
M&M,2021,2021-11-20,QC-2021-3660,Rough idling,NA,ASIC CJ327 failure due to EOS,According to Specification,Bosch
Toyota,2024,2024-01-31,QC-2024-3661,Engine overheating,NA,Track burnt due to EOS,Production Failure,STM
TATA,2019,2019-03-11,QC-2019-3194,Engine jerking during acceleration,U0100,ASIC CJ327 failure due to EOS,Customer Failure,Hanon
Honda,2024,2024-12-13,QC-2024-6047,Vehicle not starting,"P5657, U0100, P0987",Connector damage,Production Failure,NA
Hyundai,2021,2021-01-07,QC-2021-2223,Low pickup,"U0100, P6768, P6344",Connector damage,Customer Failure,Delphi
Ashok Leyland,2021,2021-07-27,QC-2021-6006,Rough idling,"P5657, P6768",Track burnt due to EOS,According to Specification,Delphi
TATA,2024,2024-05-06,QC-2024-3707,OBD Light ON,"P0301, P0987",controller failure due to supplier production failure,Customer Failure,Delphi
Toyota,2022,2022-04-03,QC-2022-2007,Brake warning light ON,,Track burnt due to EOS,According to Specification,Delphi
M&M,2023,2023-10-15,QC-2023-5966,Engine jerking during acceleration,NA,NTF,Production Failure,Bosch
Ashok Leyland,2020,2020-11-26,QC-2020-3463,Engine jerking during acceleration,NA,Connector damage,Production Failure,Hanon
Hyundai,2021,2021-05-14,QC-2021-7741,Low pickup,"U0100, P0301, B1234",ASIC CJ327 failure due to EOS,According to Specification,NA
Toyota,2022,2022-12-15,QC-2022-1518,High fuel consumption,NA,Sensor short due to moisture,Customer Failure,STM
Kia,2021,2021-02-06,QC-2021-2202,Engine overheating,,NTF,According to Specification,Bosch
TATA,2023,2023-05-14,QC-2023-2684,Engine jerking during acceleration,"C0045, B1234",ASIC CJ327 failure due to EOS,Production Failure,Hanon
Hyundai,2024,2024-12-16,QC-2024-3351,High fuel consumption,,Connector damage,Customer Failure,Delphi
M&M,2020,2020-09-22,QC-2020-2118,OBD Light ON,"P0455, P6344",Sensor short due to moisture,According to Specification,STM
Honda,2024,2024-06-11,QC-2024-9979,Brake warning light ON,"B1234, P0455, P1245",controller failure due to supplier production failure,Production Failure,NA
M&M,2020,2020-12-13,QC-2020-5763,Vehicle not starting,P0455,NTF,Production Failure,Hanon
Hyundai,2022,2022-02-15,QC-2022-8968,Vehicle not starting,"P6768, U0100",NTF,Customer Failure,Hanon
Honda,2023,2023-02-14,QC-2023-1768,Engine overheating,NA,ASIC CJ327 failure due to EOS,According to Specification,NA
Kia,2019,2019-12-12,QC-2019-3631,OBD Light ON,"P0987, P1245",Sensor short due to moisture,Production Failure,Hanon
Honda,2021,2021-09-17,QC-2021-5031,Engine overheating,P1245,Connector damage,According to Specification,Hanon
TATA,2021,2021-08-20,QC-2021-1850,Engine overheating,"P6344, P6768, P0987",ASIC CJ327 failure due to EOS,Customer Failure,Hanon
Toyota,2021,2021-07-19,QC-2021-1910,Low pickup,"P6768, B1234",NTF,Customer Failure,Hanon
Kia,2021,2021-05-29,QC-2021-5135,Engine overheating,NA,ASIC CJ327 failure due to EOS,Production Failure,NA
TATA,2021,2021-04-05,QC-2021-7490,Vehicle not starting,B1234,Track burnt due to EOS,Production Failure,Valeo
Toyota,2024,2024-07-08,QC-2024-5894,Engine jerking during acceleration,,Connector damage,According to Specification,Valeo
Honda,2021,2021-08-20,QC-2021-2493,Vehicle not starting,"P0301, P6344",controller failure due to supplier production failure,Production Failure,Hanon
Kia,2019,2019-08-25,QC-2019-7620,Starting Problem,P6768,Connector damage,Production Failure,Delphi
TATA,2024,2024-03-16,QC-2024-2263,Starting Problem,"P0301, P1245, C0045",Track burnt due to EOS,Customer Failure,STM
Ashok Leyland,2019,2019-04-15,QC-2019-6026,Brake warning light ON,"U0100, P5657, P6344",NTF,Production Failure,Bosch
Ashok Leyland,2021,2021-02-23,QC-2021-4224,Rough idling,,ASIC CJ327 failure due to EOS,Production Failure,Bosch
Ashok Leyland,2023,2023-11-30,QC-2023-3093,Rough idling,"P5657, P0987, P0455",Sensor short due to moisture,Production Failure,Bosch
Toyota,2022,2022-12-18,QC-2022-9056,Engine jerking during acceleration,NA,Sensor short due to moisture,According to Specification,Hanon
Kia,2023,2023-09-18,QC-2023-8924,Engine jerking during acceleration,NA,Track burnt due to EOS,Production Failure,NA
TATA,2021,2021-04-29,QC-2021-9053,High fuel consumption,"P5657, P0987",Track burnt due to EOS,Customer Failure,Valeo
M&M,2023,2023-01-29,QC-2023-2291,Starting Problem,NA,Sensor short due to moisture,According to Specification,Delphi
Ashok Leyland,2021,2021-08-20,QC-2021-6871,OBD Light ON,NA,ASIC CJ327 failure due to EOS,Production Failure,NA
M&M,2021,2021-04-06,QC-2021-5884,Brake warning light ON,,controller failure due to supplier production failure,Customer Failure,Valeo
TATA,2024,2024-11-15,QC-2024-2056,Vehicle not starting,P6344,Connector damage,According to Specification,STM
M&M,2019,2019-01-16,QC-2019-5377,Engine overheating,"P1245, U0100",controller failure due to supplier production failure,Customer Failure,STM
Ashok Leyland,2021,2021-12-25,QC-2021-5680,Engine overheating,P6344,Connector damage,According to Specification,NA
Honda,2022,2022-06-02,QC-2022-9727,Rough idling,"P6344, C0045",Track burnt due to EOS,According to Specification,Bosch
Kia,2022,2022-10-07,QC-2022-2409,Engine jerking during acceleration,"P0301, P1245, P6344",Sensor short due to moisture,According to Specification,Delphi
Honda,2022,2022-01-28,QC-2022-9465,OBD Light ON,,Connector damage,Customer Failure,STM
TATA,2019,2019-11-18,QC-2019-5540,Engine overheating,"P1245, P0301",Track burnt due to EOS,According to Specification,Valeo
M&M,2020,2020-02-12,QC-2020-9684,Brake warning light ON,,Track burnt due to EOS,Production Failure,STM
TATA,2024,2024-03-14,QC-2024-9704,High fuel consumption,,NTF,Customer Failure,Hanon
TATA,2020,2020-11-10,QC-2020-2634,Low pickup,NA,NTF,Production Failure,Hanon
